Distance;Altitude;Easting;Northing;Longitude;Latitude
0;490.9;2676737.33;1288987.54;8.461848;47.746964
0.3;490.9;2676737.38;1288987.23;8.461848;47.746961
0.6;490.9;2676737.43;1288986.92;8.461849;47.746958
0.9;490.9;2676737.48;1288986.61;8.46185;47.746955
1.3;490.9;2676737.54;1288986.3;8.46185;47.746953
1.6;490;2676737.59;1288985.99;8.461851;47.74695
1.9;490;2676737.64;1288985.68;8.461852;47.746947
2.2;490;2676737.69;1288985.37;8.461852;47.746944
2.5;490;2676737.74;1288985.05;8.461853;47.746941
2.8;490;2676737.79;1288984.74;8.461853;47.746939
3.1;490;2676737.85;1288984.43;8.461854;47.746936
3.5;490;2676737.9;1288984.12;8.461855;47.746933
3.8;489;2676737.95;1288983.81;8.461855;47.74693
4.1;489;2676738;1288983.5;8.461856;47.746927
4.4;488.9;2676738.05;1288983.19;8.461857;47.746925
4.7;488.9;2676738.1;1288982.88;8.461857;47.746922
5;488.9;2676738.15;1288982.57;8.461858;47.746919
5.4;488.9;2676738.21;1288982.26;8.461858;47.746916
5.7;487.8;2676738.26;1288981.95;8.461859;47.746913
6;487.8;2676738.31;1288981.64;8.46186;47.746911
6.3;487.8;2676738.36;1288981.33;8.46186;47.746908
6.6;487.8;2676738.41;1288981.02;8.461861;47.746905
6.9;487.8;2676738.46;1288980.71;8.461862;47.746902
7.2;487.8;2676738.52;1288980.39;8.461862;47.746899
7.6;487.8;2676738.57;1288980.08;8.461863;47.746897
7.9;486.7;2676738.62;1288979.77;8.461864;47.746894
8.2;486.7;2676738.67;1288979.46;8.461864;47.746891
8.5;486.7;2676738.72;1288979.15;8.461865;47.746888
8.8;486.7;2676738.77;1288978.84;8.461865;47.746885
9.1;486.7;2676738.83;1288978.53;8.461866;47.746883
9.4;486.7;2676738.88;1288978.22;8.461867;47.74688
9.8;485.7;2676738.93;1288977.91;8.461867;47.746877
10.1;485.7;2676738.98;1288977.6;8.461868;47.746874
10.4;485.7;2676739.03;1288977.29;8.461869;47.746871
10.7;485.7;2676739.08;1288976.98;8.461869;47.746869
11;485.7;2676739.14;1288976.67;8.46187;47.746866
11.3;485.7;2676739.19;1288976.36;8.461871;47.746863
11.7;485.7;2676739.24;1288976.05;8.461871;47.74686
12;484.6;2676739.29;1288975.73;8.461872;47.746857
12.3;484.6;2676739.34;1288975.42;8.461872;47.746855
12.6;484.6;2676739.39;1288975.11;8.461873;47.746852
12.9;484.6;2676739.44;1288974.8;8.461874;47.746849
13.2;484.6;2676739.5;1288974.49;8.461874;47.746846
13.5;484.6;2676739.55;1288974.18;8.461875;47.746843
13.9;483.6;2676739.6;1288973.87;8.461876;47.746841
14.2;483.6;2676739.65;1288973.56;8.461876;47.746838
14.5;483.6;2676739.7;1288973.25;8.461877;47.746835
14.8;483.6;2676739.75;1288972.94;8.461878;47.746832
15.1;483.6;2676739.81;1288972.63;8.461878;47.74683
15.4;483.6;2676739.86;1288972.32;8.461879;47.746827
15.7;483.6;2676739.91;1288972.01;8.461879;47.746824
16.1;482.5;2676739.96;1288971.7;8.46188;47.746821
16.4;482.5;2676740.01;1288971.39;8.461881;47.746818
16.7;482.5;2676740.06;1288971.08;8.461881;47.746816
17;482.5;2676740.12;1288970.76;8.461882;47.746813
17.3;482.5;2676740.17;1288970.45;8.461883;47.74681
17.6;482.5;2676740.22;1288970.14;8.461883;47.746807
17.9;481.5;2676740.27;1288969.83;8.461884;47.746804
18.3;481.5;2676740.32;1288969.52;8.461884;47.746802
18.6;481.5;2676740.37;1288969.21;8.461885;47.746799
18.9;481.5;2676740.43;1288968.9;8.461886;47.746796
19.2;481.5;2676740.48;1288968.59;8.461886;47.746793
19.5;481.5;2676740.53;1288968.28;8.461887;47.74679
19.8;480.4;2676740.58;1288967.97;8.461888;47.746788
20.2;480.4;2676740.63;1288967.66;8.461888;47.746785
20.5;480.4;2676740.68;1288967.35;8.461889;47.746782
20.8;480.4;2676740.73;1288967.04;8.46189;47.746779
21.1;480.4;2676740.79;1288966.73;8.46189;47.746776
21.4;480.4;2676740.84;1288966.42;8.461891;47.746774
21.7;480.4;2676740.89;1288966.1;8.461891;47.746771
22;479.5;2676740.94;1288965.79;8.461892;47.746768
22.4;479.5;2676740.99;1288965.48;8.461893;47.746765
22.7;479.5;2676741.04;1288965.17;8.461893;47.746762
